locality,zone,bhk,total_sqft,bathrooms,balconies,age_years,floor_no,total_floors,property_type,amenities_score,parking,distance_to_it_park_km,price_lakhs
Koregaon Park,Premium West,3,1771.9,3,1.0,25,5,14,Apartment,4,1,7.0,242.35
Magarpatta,Mid-tier,5,2254.8,5,0.0,0,5,11,Apartment,3,1,4.1,264.29
Narhe,Outskirts,1,512.9,1,0.0,3,6,19,Apartment,0,1,2.6,26.3
Kharadi,IT Corridor,3,1489.9,3,3.0,2,18,25,Apartment,0,1,2.5,219.46
Narayan Peth,Central,2,1303.9,3,1.0,1,18,26,Apartment,3,1,10.3,102.7
Balewadi,IT Corridor,1,514.7,1,1.0,3,7,13,Apartment,3,1,3.8,54.21
Pashan,Premium West,3,1741.5,3,2.0,5,5,12,Apartment,0,1,3.7,300.0
Baner,Premium West,2,1073.9,3,1.0,18,0,7,Villa,1,1,7.9,174.02
Narayan Peth,Central,4,2304.0,4,1.0,8,5,21,Apartment,5,1,10.5,197.45
Moshi,Outskirts,3,1675.2,4,2.0,18,0,5,Apartment,5,1,6.1,95.99
Moshi,Outskirts,2,1005.7,2,1.0,2,2,5,Apartment,3,0,12.8,72.95
Magarpatta,Mid-tier,2,1078.0,2,0.0,12,8,12,Villa,5,1,4.6,103.8
Ravet,Mid-tier,3,1270.6,3,0.0,5,3,9,Apartment,1,0,0.9,91.25
Boat Club Road,Premium West,3,1442.6,4,2.0,5,8,12,Apartment,0,1,4.9,285.29
Pashan,Premium West,3,1922.6,4,0.0,2,20,27,Apartment,4,1,4.0,272.33
