locality,zone,bhk,total_sqft,bathrooms,balconies,age_years,floor_no,total_floors,floor_ratio,sqft_per_bhk,property_type,amenities_score,parking,distance_to_it_park_km
Wagholi,Outskirts,3,1272.9,4,1.0,3,16,20,0.8,424.3,Builder Floor,1,1,6.5
Kothrud,IT Corridor,3,1298.3,3,3.0,0,14,14,1.0,432.76666666666665,Apartment,1,1,10.0
Baner,Premium West,2,1191.8,2,1.0,3,11,26,0.4230769230769231,595.9,Apartment,0,0,7.9
Wagholi,Outskirts,2,1169.2,2,2.0,8,15,17,0.8823529411764706,584.6,Apartment,2,1,4.5
Sinhgad Road,Outskirts,1,539.9,1,1.0,8,5,16,0.3125,539.9,Apartment,2,1,0.4
Kharadi,IT Corridor,1,580.7,1,0.0,0,19,20,0.95,580.7,Apartment,3,1,11.8
Narayan Peth,Central,3,1287.9,3,2.0,5,0,10,0.0,429.3,Apartment,5,1,5.9
Camp,Central,2,1038.7,3,1.0,3,1,27,0.037037037037037035,519.35,Builder Floor,1,1,2.9
Camp,Central,3,1464.0,3,3.0,12,9,23,0.391304347826087,488.0,Apartment,1,1,7.8
Aundh,Premium West,2,1335.0,2,1.0,5,7,10,0.7,667.5,Apartment,3,0,9.7
Narayan Peth,Central,2,1219.4,2,3.0,5,21,25,0.84,609.7,Apartment,2,1,8.5
Pashan,Premium West,3,1209.9,3,1.0,5,11,16,0.6875,403.3,Apartment,3,1,4.4
NIBM Road,Outskirts,2,1098.1,2,1.0,3,5,12,0.4166666666666667,549.05,Apartment,4,1,4.8
Somwar Peth,Central,3,1590.0,3,2.0,0,17,27,0.6296296296296297,530.0,Apartment,0,1,5.4
Viman Nagar,IT Corridor,2,684.2,2,2.0,25,12,14,0.8571428571428571,342.1,Builder Floor,4,0,4.9
Magarpatta,Mid-tier,1,705.8,1,2.0,12,2,10,0.2,705.8,Apartment,3,1,2.0
Narayan Peth,Central,1,515.6,1,2.0,8,5,16,0.3125,515.6,Apartment,0,1,0.0
Balewadi,IT Corridor,5,2885.2,5,0.0,3,14,19,0.7368421052631579,577.04,Apartment,5,1,9.2
Wagholi,Outskirts,2,962.3,2,1.0,0,16,21,0.7619047619047619,481.15,Apartment,0,1,13.6
Kothrud,IT Corridor,4,2451.0,4,0.0,3,10,14,0.7142857142857143,612.75,Builder Floor,0,1,18.8
Moshi,Outskirts,4,2207.5,4,1.0,8,9,11,0.8181818181818182,551.875,Apartment,0,1,4.8
Kondhwa,Outskirts,2,1058.3,2,2.0,12,10,13,0.7692307692307693,529.15,Apartment,1,0,5.4
Magarpatta,Mid-tier,3,1396.8,3,3.0,2,9,21,0.42857142857142855,465.59999999999997,Apartment,1,1,10.1
Pashan,Premium West,3,1583.0,3,1.0,2,8,24,0.3333333333333333,527.6666666666666,Apartment,3,1,16.7
NIBM Road,Outskirts,3,1898.4,3,2.0,5,16,18,0.8888888888888888,632.8000000000001,Apartment,1,0,5.1
Viman Nagar,IT Corridor,5,2810.8,6,1.0,2,5,6,0.8333333333333334,562.1600000000001,Apartment,2,0,4.7
NIBM Road,Outskirts,3,1343.3,3,2.0,5,20,23,0.8695652173913043,447.76666666666665,Apartment,5,1,9.3
Viman Nagar,IT Corridor,3,1830.3,3,2.0,25,15,20,0.75,610.1,Apartment,1,1,4.3
Swargate,Central,2,899.2,3,0.0,5,0,8,0.0,449.6,Apartment,2,1,3.4
Kiwale,Outskirts,4,2327.1,4,2.0,12,4,28,0.14285714285714285,581.775,Apartment,0,1,7.3
Ravet,Mid-tier,1,587.1,1,3.0,5,3,27,0.1111111111111111,587.1,Apartment,0,0,0.9
Kothrud,IT Corridor,5,2303.9,6,1.0,5,2,17,0.11764705882352941,460.78000000000003,Apartment,2,0,12.8
NIBM Road,Outskirts,2,895.0,2,0.0,2,4,21,0.19047619047619047,447.5,Apartment,1,1,7.5
Ravet,Mid-tier,3,1785.0,3,2.0,1,8,12,0.6666666666666666,595.0,Builder Floor,2,1,6.2
Narayan Peth,Central,3,1609.7,3,2.0,5,8,21,0.38095238095238093,536.5666666666667,Apartment,2,1,7.0
Wagholi,Outskirts,2,1055.0,2,2.0,3,6,9,0.6666666666666666,527.5,Apartment,2,1,8.8
Balewadi,IT Corridor,3,1446.3,3,,18,7,14,0.5,482.09999999999997,Builder Floor,5,1,9.2
Hinjewadi,Mid-tier,2,926.6,2,1.0,5,8,8,1.0,463.3,Apartment,1,1,0.6
NIBM Road,Outskirts,2,1268.5,2,,5,16,19,0.8421052631578947,634.25,Apartment,2,1,5.9
Chinchwad,Outskirts,3,1928.3,3,1.0,18,1,15,0.06666666666666667,642.7666666666667,Apartment,5,1,8.2
Bavdhan,Mid-tier,1,522.9,1,1.0,2,17,29,0.5862068965517241,522.9,Villa,3,1,6.9
Somwar Peth,Central,3,1710.4,3,2.0,8,11,22,0.5,570.1333333333333,Apartment,5,0,9.2
Camp,Central,1,514.3,1,2.0,12,19,19,1.0,514.3,Apartment,0,1,4.2
Pashan,Premium West,5,1953.3,6,3.0,3,0,16,0.0,390.65999999999997,Apartment,1,1,1.4
Wagholi,Outskirts,2,1036.3,2,2.0,1,1,22,0.045454545454545456,518.15,Apartment,3,1,8.4
Wagholi,Outskirts,2,1187.3,2,2.0,1,8,8,1.0,593.65,Apartment,0,1,4.3
Undri,Outskirts,2,1035.4,2,2.0,8,3,10,0.3,517.7,Apartment,5,1,4.6
Camp,Central,3,1269.8,4,1.0,3,1,14,0.07142857142857142,423.26666666666665,Apartment,1,1,6.0
Ravet,Mid-tier,2,1241.2,2,1.0,5,10,14,0.7142857142857143,620.6,Apartment,4,0,1.8
Narayan Peth,Central,3,1507.4,3,1.0,5,1,14,0.07142857142857142,502.4666666666667,Apartment,0,1,6.0
Shivaji Nagar,Central,3,1344.6,3,2.0,8,6,20,0.3,448.2,Apartment,0,0,6.2
Moshi,Outskirts,2,847.7,3,1.0,18,2,5,0.4,423.85,Apartment,5,1,2.4
Aundh,Premium West,2,771.2,2,1.0,2,2,3,0.6666666666666666,385.6,Apartment,5,1,7.7
Pashan,Premium West,3,1280.6,4,1.0,5,19,27,0.7037037037037037,426.8666666666666,Apartment,0,1,4.2
Baner,Premium West,4,2453.3,4,0.0,2,0,5,0.0,613.325,Apartment,1,1,4.4
Somwar Peth,Central,3,1703.9,3,1.0,3,7,9,0.7777777777777778,567.9666666666667,Apartment,0,1,4.0
Aundh,Premium West,4,2066.4,5,1.0,0,1,11,0.09090909090909091,516.6,Apartment,3,0,4.8
Viman Nagar,IT Corridor,1,638.2,1,2.0,3,8,28,0.2857142857142857,638.2,Apartment,3,0,7.8
Sinhgad Road,Outskirts,2,1263.1,2,2.0,12,8,27,0.2962962962962963,631.55,Apartment,1,1,2.0
Chinchwad,Outskirts,5,3174.6,6,2.0,5,7,22,0.3181818181818182,634.92,Apartment,3,1,0.0
Aundh,Premium West,1,694.1,2,2.0,12,3,5,0.6,694.1,Apartment,2,1,1.9
Kiwale,Outskirts,3,1455.7,3,1.0,3,9,18,0.5,485.23333333333335,Builder Floor,3,0,7.8
Camp,Central,1,592.7,2,3.0,1,13,13,1.0,592.7,Apartment,4,1,5.7
Swargate,Central,2,1082.9,3,2.0,5,3,9,0.3333333333333333,541.45,Apartment,4,1,5.3
Koregaon Park,Premium West,2,1116.7,2,3.0,3,7,8,0.875,558.35,Apartment,5,1,6.2
Aundh,Premium West,2,1174.9,2,1.0,3,0,21,0.0,587.45,Apartment,1,1,2.0
Shivaji Nagar,Central,2,997.4,2,1.0,2,25,26,0.9615384615384616,498.7,Apartment,4,0,7.7
Shivaji Nagar,Central,3,1596.1,3,1.0,5,1,6,0.16666666666666666,532.0333333333333,Apartment,3,1,11.0
Hadapsar,Outskirts,5,3265.9,5,2.0,2,13,17,0.7647058823529411,653.1800000000001,Villa,3,1,11.7
Kondhwa,Outskirts,2,1094.6,2,2.0,5,0,12,0.0,547.3,Apartment,5,1,2.7
Chinchwad,Outskirts,3,1926.7,3,2.0,1,7,8,0.875,642.2333333333333,Apartment,3,1,4.9
Chinchwad,Outskirts,3,1444.2,4,1.0,5,15,23,0.6521739130434783,481.40000000000003,Apartment,3,1,9.7
Swargate,Central,1,622.6,1,1.0,25,11,22,0.5,622.6,Apartment,0,1,8.7
Shivaji Nagar,Central,2,877.9,3,1.0,3,0,4,0.0,438.95,Apartment,2,0,0.8
Wakad,Mid-tier,2,991.6,3,0.0,25,5,28,0.17857142857142858,495.8,Apartment,4,0,1.9
Aundh,Premium West,3,1548.1,4,1.0,12,5,10,0.5,516.0333333333333,Villa,3,0,11.2
Kharadi,IT Corridor,2,1036.3,2,2.0,2,7,16,0.4375,518.15,Builder Floor,2,1,8.8
Kharadi,IT Corridor,1,628.1,1,,12,0,4,0.0,628.1,Apartment,5,1,5.8
Magarpatta,Mid-tier,2,802.1,3,2.0,18,0,4,0.0,401.05,Builder Floor,3,1,9.8
Wagholi,Outskirts,3,1396.6,3,2.0,5,1,21,0.047619047619047616,465.5333333333333,Apartment,4,1,1.7
Swargate,Central,2,1054.7,3,1.0,0,2,23,0.08695652173913043,527.35,Apartment,4,1,5.5
Kiwale,Outskirts,2,894.5,3,2.0,5,0,13,0.0,447.25,Builder Floor,2,0,8.9
Chinchwad,Outskirts,2,707.6,2,2.0,1,13,27,0.48148148148148145,353.8,Builder Floor,2,1,5.0
Hinjewadi,Mid-tier,3,1305.2,3,2.0,2,16,16,1.0,435.06666666666666,Apartment,2,1,0.9
Sinhgad Road,Outskirts,3,1319.3,3,1.0,2,9,19,0.47368421052631576,439.76666666666665,Apartment,2,0,10.4
Koregaon Park,Premium West,1,681.5,1,2.0,2,16,23,0.6956521739130435,681.5,Apartment,0,1,5.3
Pashan,Premium West,4,2319.8,5,2.0,1,2,20,0.1,579.95,Builder Floor,0,1,5.8
Ravet,Mid-tier,3,1442.7,4,2.0,5,1,3,0.3333333333333333,480.90000000000003,Apartment,4,1,1.5
Magarpatta,Mid-tier,2,1164.8,2,2.0,0,5,5,1.0,582.4,Apartment,3,1,11.8
Kondhwa,Outskirts,1,610.6,1,2.0,5,23,24,0.9583333333333334,610.6,Apartment,4,1,5.5
Undri,Outskirts,3,1739.8,3,2.0,3,6,9,0.6666666666666666,579.9333333333333,Apartment,2,1,11.9
Narayan Peth,Central,2,1110.9,2,2.0,12,7,23,0.30434782608695654,555.45,Apartment,5,0,11.6
Somwar Peth,Central,3,1509.3,4,1.0,8,4,25,0.16,503.09999999999997,Apartment,0,1,2.8
Kharadi,IT Corridor,3,1563.3,3,1.0,8,15,20,0.75,521.1,Apartment,2,0,6.6
Wagholi,Outskirts,5,2230.6,6,1.0,5,15,18,0.8333333333333334,446.12,Apartment,4,1,4.0
Kalyani Nagar,Premium West,4,1997.8,5,1.0,5,11,19,0.5789473684210527,499.45,Apartment,4,1,5.8
Kiwale,Outskirts,3,1542.3,4,1.0,5,22,27,0.8148148148148148,514.1,Apartment,3,1,6.2
Ravet,Mid-tier,2,1078.3,3,2.0,0,0,17,0.0,539.15,Apartment,4,1,5.8
Wagholi,Outskirts,3,1438.1,3,2.0,8,10,17,0.5882352941176471,479.3666666666666,Apartment,1,0,5.2
Koregaon Park,Premium West,2,999.8,2,1.0,3,9,15,0.6,499.9,Apartment,4,1,5.7
Somwar Peth,Central,5,2603.3,6,3.0,5,4,5,0.8,520.6600000000001,Apartment,0,1,8.4
Somwar Peth,Central,3,1369.4,3,3.0,12,14,14,1.0,456.4666666666667,Apartment,3,1,5.4
Ravet,Mid-tier,4,2621.6,5,1.0,2,9,23,0.391304347826087,655.4,Apartment,4,1,6.4
Kiwale,Outskirts,2,910.8,2,1.0,1,11,11,1.0,455.4,Apartment,1,1,2.6
Aundh,Premium West,3,1665.2,3,1.0,2,0,22,0.0,555.0666666666667,Apartment,1,1,6.2
Magarpatta,Mid-tier,2,764.7,3,1.0,1,8,16,0.5,382.35,Apartment,4,1,3.3
Kalyani Nagar,Premium West,3,1583.3,3,0.0,0,11,19,0.5789473684210527,527.7666666666667,Apartment,0,1,4.7
Narhe,Outskirts,3,1460.6,4,1.0,1,8,19,0.42105263157894735,486.8666666666666,Apartment,2,0,5.9
Kiwale,Outskirts,1,770.5,1,2.0,12,0,8,0.0,770.5,Apartment,3,1,8.8
Moshi,Outskirts,2,839.7,2,1.0,25,3,18,0.16666666666666666,419.85,Apartment,3,1,6.5
Pashan,Premium West,2,948.3,3,1.0,5,0,5,0.0,474.15,Villa,4,1,3.7
NIBM Road,Outskirts,3,1523.1,4,2.0,1,5,5,1.0,507.7,Builder Floor,3,1,10.0
Camp,Central,1,661.9,2,,12,7,20,0.35,661.9,Apartment,3,1,8.0
Narayan Peth,Central,1,648.6,1,1.0,8,8,16,0.5,648.6,Apartment,0,1,1.9
Bavdhan,Mid-tier,2,991.0,2,2.0,8,10,12,0.8333333333333334,495.5,Villa,4,1,6.9
Sinhgad Road,Outskirts,4,2025.3,4,1.0,8,5,27,0.18518518518518517,506.325,Apartment,3,1,4.5
Hinjewadi,Mid-tier,1,565.9,1,2.0,2,14,15,0.9333333333333333,565.9,Apartment,3,1,9.7
Somwar Peth,Central,2,1058.8,2,2.0,2,21,25,0.84,529.4,Apartment,2,1,7.7
Hadapsar,Outskirts,1,655.7,1,1.0,5,4,10,0.4,655.7,Apartment,0,1,6.8
Kothrud,IT Corridor,2,1046.0,2,2.0,2,10,12,0.8333333333333334,523.0,Apartment,4,0,0.4
Aundh,Premium West,3,1506.0,3,2.0,3,16,16,1.0,502.0,Apartment,4,1,3.9
Balewadi,IT Corridor,3,1415.4,3,1.0,5,13,27,0.48148148148148145,471.8,Apartment,3,0,5.7
Swargate,Central,3,1429.8,4,1.0,0,4,9,0.4444444444444444,476.59999999999997,Apartment,2,0,9.0
Narayan Peth,Central,1,574.7,2,1.0,3,10,23,0.43478260869565216,574.7,Apartment,2,0,4.1
Balewadi,IT Corridor,2,873.5,3,1.0,12,7,22,0.3181818181818182,436.75,Apartment,3,1,3.3
Koregaon Park,Premium West,2,839.7,2,2.0,0,9,11,0.8181818181818182,419.85,Apartment,3,1,1.4
Bavdhan,Mid-tier,2,1033.7,3,3.0,12,1,21,0.047619047619047616,516.85,Apartment,1,1,0.9
Viman Nagar,IT Corridor,2,999.8,2,2.0,5,12,17,0.7058823529411765,499.9,Apartment,0,1,3.3
Kalyani Nagar,Premium West,2,1194.1,2,2.0,8,0,22,0.0,597.05,Builder Floor,2,1,5.6
Baner,Premium West,4,2552.1,4,1.0,8,3,14,0.21428571428571427,638.025,Builder Floor,1,1,0.4
Magarpatta,Mid-tier,2,1149.2,2,2.0,1,4,18,0.2222222222222222,574.6,Builder Floor,1,1,14.2
Baner,Premium West,1,461.8,1,3.0,3,22,23,0.9565217391304348,461.8,Apartment,4,1,9.5
Swargate,Central,2,998.8,2,0.0,2,1,6,0.16666666666666666,499.4,Apartment,2,1,10.7
Aundh,Premium West,2,947.0,2,0.0,25,12,21,0.5714285714285714,473.5,Apartment,0,1,13.8
Pashan,Premium West,2,1215.6,2,1.0,8,1,7,0.14285714285714285,607.8,Builder Floor,4,1,16.3
NIBM Road,Outskirts,4,2466.4,5,2.0,25,9,9,1.0,616.6,Apartment,2,1,6.0
Ravet,Mid-tier,4,2120.0,4,1.0,8,12,18,0.6666666666666666,530.0,Apartment,3,0,1.7
Wakad,Mid-tier,2,1047.7,2,0.0,5,11,11,1.0,523.85,Builder Floor,4,1,11.9
Koregaon Park,Premium West,2,1068.4,2,2.0,2,0,22,0.0,534.2,Apartment,5,1,5.8
Moshi,Outskirts,2,835.9,2,1.0,5,1,11,0.09090909090909091,417.95,Apartment,5,1,18.4
Narayan Peth,Central,5,1772.0,5,1.0,18,8,25,0.32,354.4,Apartment,0,1,10.8
Koregaon Park,Premium West,2,1210.5,2,3.0,8,27,28,0.9642857142857143,605.25,Apartment,5,1,7.6
Balewadi,IT Corridor,2,831.1,3,1.0,1,18,20,0.9,415.55,Apartment,2,0,8.8
Shivaji Nagar,Central,3,1487.8,3,2.0,3,9,21,0.42857142857142855,495.93333333333334,Apartment,0,1,10.0
NIBM Road,Outskirts,2,1098.0,2,2.0,2,23,26,0.8846153846153846,549.0,Apartment,3,1,3.7
Kothrud,IT Corridor,2,1196.8,2,2.0,1,5,13,0.38461538461538464,598.4,Apartment,3,1,6.6
Moshi,Outskirts,2,1089.3,3,2.0,25,10,15,0.6666666666666666,544.65,Apartment,1,1,0.3
Pashan,Premium West,2,1268.7,2,1.0,0,24,24,1.0,634.35,Apartment,4,0,12.2
Camp,Central,2,1053.8,2,2.0,8,0,11,0.0,526.9,Builder Floor,2,1,2.6
Kalyani Nagar,Premium West,4,1875.0,5,2.0,8,10,29,0.3448275862068966,468.75,Apartment,0,0,9.2
Narhe,Outskirts,3,1368.6,3,1.0,8,2,7,0.2857142857142857,456.2,Apartment,0,0,9.0
Pashan,Premium West,3,1440.5,3,1.0,1,2,14,0.14285714285714285,480.1666666666667,Apartment,2,1,1.6
Aundh,Premium West,2,1192.9,2,1.0,5,2,6,0.3333333333333333,596.45,Apartment,4,1,3.4
Boat Club Road,Premium West,4,1783.2,4,2.0,2,2,4,0.5,445.8,Apartment,4,1,10.8
Wakad,Mid-tier,3,2050.8,3,2.0,1,17,24,0.7083333333333334,683.6,Apartment,0,1,11.1
Kalyani Nagar,Premium West,2,939.2,2,2.0,5,8,17,0.47058823529411764,469.6,Apartment,3,0,3.1
Pashan,Premium West,2,665.2,2,2.0,5,7,18,0.3888888888888889,332.6,Apartment,2,1,2.9
Undri,Outskirts,2,1207.4,2,1.0,3,1,28,0.03571428571428571,603.7,Builder Floor,0,1,7.2
Kiwale,Outskirts,2,660.4,2,1.0,5,21,22,0.9545454545454546,330.2,Apartment,3,1,0.2
Baner,Premium West,2,886.6,2,1.0,8,7,10,0.7,443.3,Builder Floor,1,1,16.0
Balewadi,IT Corridor,3,1899.9,3,2.0,5,8,27,0.2962962962962963,633.3000000000001,Apartment,5,0,5.1
Shivaji Nagar,Central,4,1918.1,4,2.0,18,2,5,0.4,479.525,Apartment,0,1,9.5
Wagholi,Outskirts,2,1399.6,3,2.0,8,25,28,0.8928571428571429,699.8,Apartment,2,1,2.7
NIBM Road,Outskirts,1,315.5,1,3.0,18,1,10,0.1,315.5,Villa,1,1,11.1
Ravet,Mid-tier,3,1610.2,3,1.0,1,0,22,0.0,536.7333333333333,Apartment,3,1,4.2
Koregaon Park,Premium West,1,681.7,1,1.0,3,0,18,0.0,681.7,Apartment,4,0,18.8
Sinhgad Road,Outskirts,3,1586.1,3,3.0,5,8,12,0.6666666666666666,528.6999999999999,Apartment,5,0,5.4
NIBM Road,Outskirts,3,1742.0,3,1.0,12,21,29,0.7241379310344828,580.6666666666666,Apartment,1,1,12.3
Kiwale,Outskirts,1,607.9,1,2.0,2,1,4,0.25,607.9,Apartment,1,1,5.7
Swargate,Central,3,1686.9,3,3.0,2,5,17,0.29411764705882354,562.3000000000001,Apartment,5,1,11.2
Chinchwad,Outskirts,3,1379.4,3,1.0,5,18,22,0.8181818181818182,459.8,Builder Floor,0,1,4.0
Magarpatta,Mid-tier,2,1149.0,3,2.0,5,7,25,0.28,574.5,Apartment,0,1,9.8
Magarpatta,Mid-tier,3,1174.6,3,2.0,5,1,3,0.3333333333333333,391.5333333333333,Apartment,2,1,0.3
Narhe,Outskirts,2,1246.7,3,2.0,2,7,24,0.2916666666666667,623.35,Apartment,4,1,9.9
Moshi,Outskirts,4,2066.6,4,1.0,8,0,20,0.0,516.65,Apartment,2,1,3.4
Baner,Premium West,2,1066.7,2,1.0,1,0,9,0.0,533.35,Apartment,5,1,11.4
Wakad,Mid-tier,4,1873.9,4,2.0,5,0,3,0.0,468.475,Apartment,3,1,10.7
Camp,Central,2,1002.2,3,2.0,2,0,4,0.0,501.1,Apartment,4,1,3.9
Chinchwad,Outskirts,1,557.6,1,1.0,2,13,22,0.5909090909090909,557.6,Builder Floor,1,0,0.4
Kharadi,IT Corridor,1,733.4,1,2.0,2,24,27,0.8888888888888888,733.4,Apartment,5,1,7.0
Boat Club Road,Premium West,2,999.3,2,3.0,8,3,7,0.42857142857142855,499.65,Apartment,5,0,7.6
Hinjewadi,Mid-tier,1,467.6,1,2.0,8,3,12,0.25,467.6,Apartment,3,1,5.5
Narayan Peth,Central,2,897.2,2,1.0,3,0,6,0.0,448.6,Apartment,5,1,3.1
Narhe,Outskirts,4,2111.5,4,3.0,12,4,4,1.0,527.875,Apartment,2,0,8.5
Baner,Premium West,2,1511.6,2,1.0,12,3,7,0.42857142857142855,755.8,Apartment,3,1,4.5
Chinchwad,Outskirts,4,2133.4,4,2.0,3,11,28,0.39285714285714285,533.35,Apartment,4,1,5.9
Moshi,Outskirts,2,901.1,2,1.0,8,4,4,1.0,450.55,Villa,0,0,6.8
Hadapsar,Outskirts,3,1447.7,3,2.0,5,0,14,0.0,482.56666666666666,Builder Floor,1,1,5.2
Magarpatta,Mid-tier,1,648.8,1,1.0,8,2,4,0.5,648.8,Apartment,5,1,2.9
Pashan,Premium West,3,1529.7,4,2.0,3,11,18,0.6111111111111112,509.90000000000003,Builder Floor,4,1,9.8
Shivaji Nagar,Central,4,1927.1,4,0.0,5,8,16,0.5,481.775,Apartment,4,1,4.1
Moshi,Outskirts,3,1532.0,3,2.0,5,2,4,0.5,510.6666666666667,Apartment,1,1,5.8
Viman Nagar,IT Corridor,4,2362.3,4,2.0,12,13,27,0.48148148148148145,590.575,Apartment,2,0,10.7
Somwar Peth,Central,2,1063.2,2,1.0,5,12,14,0.8571428571428571,531.6,Apartment,3,1,6.0
NIBM Road,Outskirts,2,905.1,2,0.0,5,15,27,0.5555555555555556,452.55,Apartment,3,1,4.8
Kalyani Nagar,Premium West,2,1087.1,3,1.0,5,4,5,0.8,543.55,Apartment,2,1,11.1
Narhe,Outskirts,2,1169.2,2,1.0,5,1,20,0.05,584.6,Apartment,4,1,1.3
Aundh,Premium West,2,1092.5,2,,8,2,3,0.6666666666666666,546.25,Apartment,1,1,10.1
Kothrud,IT Corridor,4,2365.6,4,2.0,12,10,11,0.9090909090909091,591.4,Builder Floor,1,1,0.9
Shivaji Nagar,Central,4,1571.4,4,0.0,3,17,26,0.6538461538461539,392.85,Apartment,4,1,10.5
Somwar Peth,Central,2,1121.5,2,1.0,3,13,18,0.7222222222222222,560.75,Apartment,3,1,0.0
Kiwale,Outskirts,2,733.9,2,2.0,3,6,27,0.2222222222222222,366.95,Apartment,1,1,5.3
Moshi,Outskirts,1,737.0,2,2.0,2,1,5,0.2,737.0,Apartment,1,1,9.3
Hadapsar,Outskirts,3,1559.9,3,1.0,2,5,29,0.1724137931034483,519.9666666666667,Apartment,3,1,3.5
Wakad,Mid-tier,2,1342.9,2,2.0,2,12,21,0.5714285714285714,671.45,Apartment,4,1,5.5
Kiwale,Outskirts,3,1996.2,3,2.0,2,7,9,0.7777777777777778,665.4,Apartment,3,1,12.5
Hadapsar,Outskirts,3,1364.9,3,1.0,3,5,22,0.22727272727272727,454.9666666666667,Apartment,0,1,5.4
Hinjewadi,Mid-tier,1,712.6,1,2.0,2,13,20,0.65,712.6,Apartment,3,1,7.5
Undri,Outskirts,3,1243.6,4,0.0,3,13,13,1.0,414.5333333333333,Apartment,0,1,8.7
NIBM Road,Outskirts,3,1489.6,3,1.0,3,1,3,0.3333333333333333,496.5333333333333,Apartment,2,1,11.7
Viman Nagar,IT Corridor,1,474.5,2,1.0,8,6,16,0.375,474.5,Apartment,1,1,2.9
Pashan,Premium West,3,1507.4,3,1.0,1,4,5,0.8,502.4666666666667,Apartment,2,1,7.5
Camp,Central,3,1693.0,4,1.0,8,10,18,0.5555555555555556,564.3333333333334,Apartment,0,1,9.1
Camp,Central,2,894.4,3,2.0,3,10,18,0.5555555555555556,447.2,Apartment,5,1,2.8
